============================================================
A股回测报告
回测日期: 2026-03-02
============================================================


────────────────────────────────────────────────────────────
策略: 少妇战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
300176    鸿特科技    03-05     7.63      03-16     7.57      -0.79     -786.00     
002624    完美世界    03-05     20.88     03-16     19.33     -7.42     -7285.00    
603599    广信股份    03-05     14.52     03-16     15.30     +5.37     +5304.00    
002724    海洋王     03-05     7.59      03-16     8.21      +8.17     +8122.00    
000738    航发控制    03-05     25.70     03-16     23.60     -8.17     -7980.00    
002296    辉煌科技    03-05     14.04     03-16     12.91     -8.05     -8023.00    
000779    甘咨询     03-05     9.79      03-16     9.26      -5.41     -5406.00    
001378    德冠新材    03-05     24.84     03-16     26.30     +5.88     +5840.00    
300473    德尔股份    03-05     34.02     03-16     37.02     +8.82     +8700.00    
688155    先惠技术    03-05     87.59     03-16     82.48     -5.83     -5621.00    
001218    丽臣实业    03-05     25.15     03-16     26.48     +5.29     +5187.00    
300196    长海股份    03-05     19.72     03-16     19.25     -2.38     -2350.00    
688718    唯赛勃     03-05     15.03     03-16     16.02     +6.59     +6534.00    
002206    海利得     03-05     6.95      03-16     6.85      -1.44     -1430.00    
301031    中熔电气    03-05     142.10    03-16     139.55    -1.79     -1785.00    
002441    众业达     03-05     10.92     03-16     10.70     -2.01     -2002.00    
688056    莱伯泰科    03-05     37.30     03-16     37.51     +0.56     +546.00     
688017    绿的谐波    03-05     217.95    03-16     196.25    -9.96     -8680.00    
688077    大地熊     03-05     34.76     03-16     31.82     -8.46     -8232.00    
300398    飞凯材料    03-05     29.65     03-16     28.18     -4.96     -4851.00    
688737    中自科技    03-06     27.00     03-17     28.40     +5.19     +5180.00    
300721    怡达股份    03-06     15.50     03-17     15.18     -2.06     -2048.00    
600273    嘉化能源    03-06     10.73     03-18     9.89      -7.83     -7812.00    
300861    美畅股份    03-06     17.68     03-18     17.32     -2.04     -2016.00    
301065    本立科技    03-06     23.57     03-17     23.95     +1.61     +1596.00    
600356    恒丰纸业    03-06     9.49      03-17     9.20      -3.06     -3045.00    
002552    宝鼎科技    03-06     19.44     03-17     18.15     -6.64     -6579.00    
002597    金禾实业    03-06     25.76     03-17     23.73     -7.88     -7714.00    
300864    南大环境    03-06     22.20     03-17     21.23     -4.37     -4365.00    
603010    万盛股份    03-06     11.65     03-17     11.69     +0.34     +340.00     
000990    诚志股份    03-06     8.65      03-17     9.81      +13.41    +13340.00   
301003    江苏博云    03-06     46.61     03-17     51.87     +11.29    +11046.00   
603041    美思德     03-06     13.01     03-18     13.44     +3.31     +3268.00    
300958    建工修复    03-06     13.83     03-17     14.13     +2.17     +2160.00    
603638    艾迪精密    03-06     22.01     03-17     21.09     -4.18     -4140.00    
688280    精进电动    03-06     10.24     03-17     10.51     +2.64     +2619.00    
000831    中国稀土    03-06     57.67     03-17     50.39     -12.62    -12376.00   
301535    浙江华远    03-06     26.13     03-17     27.04     +3.48     +3458.00    
003017    大洋生物    03-06     33.00     03-17     31.46     -4.67     -4620.00    
300931    通用电梯    03-06     12.58     03-17     12.74     +1.27     +1264.00    
688021    奥福科技    03-06     23.55     03-17     24.50     +4.03     +3990.00    
301006    迈拓股份    03-06     18.04     03-17     18.07     +0.17     +165.00     
603639    海利尔     03-06     14.17     03-17     13.99     -1.27     -1260.00    
002806    华锋股份    03-06     15.81     03-17     15.18     -3.98     -3969.00    
300851    交大思诺    03-06     30.55     03-17     30.97     +1.37     +1344.00    
601678    滨化股份    03-06     5.40      03-18     5.22      -3.33     -3330.00    
603220    中贝通信    03-06     27.00     03-17     25.05     -7.22     -7215.00    
002395    双象股份    03-06     18.81     03-17     18.63     -0.96     -954.00     
002372    伟星新材    03-06     11.66     03-17     11.62     -0.34     -340.00     
688038    中科通达    03-06     21.80     03-17     20.72     -4.95     -4860.00    
688563    航材股份    03-06     67.53     03-17     61.68     -8.66     -8190.00    
001358    兴欣新材    03-06     29.50     03-17     28.80     -2.37     -2310.00    
301273    瑞晨环保    03-06     30.70     03-17     31.44     +2.41     +2368.00    
300845    捷安高科    03-06     12.12     03-17     11.99     -1.07     -1066.00    
688329    艾隆科技    03-06     25.18     03-17     24.84     -1.35     -1326.00    
300113    顺网科技    03-06     24.30     03-17     25.95     +6.79     +6765.00    
688355    明志科技    03-06     20.97     03-17     21.06     +0.43     +423.00     
300243    瑞丰高材    03-06     11.72     03-17     15.37     +31.14    +31025.00   
600585    海螺水泥    03-06     24.70     03-17     25.07     +1.50     +1480.00    
300508    维宏股份    03-06     41.69     03-17     39.13     -6.14     -5888.00    
003008    开普检测    03-06     23.70     03-17     23.49     -0.89     -882.00     
301049    超越科技    03-06     24.25     03-17     23.63     -2.56     -2542.00    
688350    富淼科技    03-06     31.41     03-17     28.24     -10.09    -9827.00    
600360    *ST华    03-06     8.93      03-18     9.22      +3.25     +3219.00    
603637    镇海股份    03-06     12.59     03-17     11.98     -4.85     -4819.00    
300804    广康生化    03-06     43.10     03-17     48.26     +11.97    +11868.00   
603281    江瀚新材    03-06     31.75     03-18     30.35     -4.41     -4340.00    
002185    华天科技    03-06     14.12     03-17     13.49     -4.46     -4410.00    
600763    通策医疗    03-06     47.90     03-17     44.60     -6.89     -6600.00    
000423    东阿阿胶    03-06     52.59     03-17     52.84     +0.48     +475.00     
600479    千金药业    03-06     10.92     03-17     10.93     +0.09     +91.00      
001373    翔腾新材    03-06     41.65     03-17     39.03     -6.29     -6288.00    
301125    腾亚精工    03-06     22.59     03-17     23.46     +3.85     +3828.00    
603150    万朗磁塑    03-06     57.07     03-17     53.47     -6.31     -6120.00    
688200    华峰测控    03-06     265.00    03-17     267.56    +0.97     +768.00     
002985    北摩高科    03-06     38.94     03-17     37.98     -2.47     -2400.00    
002271    东方雨虹    03-06     16.88     03-17     15.74     -6.75     -6726.00    
688277    天智航-    03-06     24.05     03-18     23.68     -1.54     -1517.00    
000959    首钢股份    03-06     5.46      03-17     5.12      -6.23     -6222.00    
300736    百邦科技    03-06     19.49     03-17     20.93     +7.39     +7344.00    
300165    ST天瑞    03-06     5.51      03-17     5.44      -1.27     -1267.00    
002539    云图控股    03-06     15.06     03-17     14.81     -1.66     -1650.00    
300408    三环集团    03-06     58.52     03-17     54.80     -6.36     -6324.00    
003011    海象新材    03-06     25.89     03-17     25.10     -3.05     -3002.00    
002078    太阳纸业    03-06     16.48     03-18     15.84     -3.88     -3840.00    
600841    动力新科    03-06     9.95      03-17     8.72      -12.36    -12300.00   
300535    达威股份    03-06     21.56     03-17     21.09     -2.18     -2162.00    
605006    山东玻纤    03-06     9.44      03-17     9.12      -3.39     -3360.00    
600392    盛和资源    03-06     27.48     03-17     23.95     -12.85    -12708.00   
688002    睿创微纳    03-06     106.02    03-17     101.51    -4.25     -4059.00    
603980    吉华集团    03-06     7.39      03-17     7.05      -4.60     -4590.00    
301429    森泰股份    03-06     20.61     03-18     21.26     +3.15     +3120.00    
000157    中联重科    03-06     9.69      03-18     8.84      -8.77     -8755.00    
002810    山东赫达    03-06     17.91     03-17     18.47     +3.13     +3080.00    
002318    久立特材    03-06     33.97     03-18     31.94     -5.98     -5887.00    
605177    东亚药业    03-06     21.53     03-17     21.99     +2.14     +2116.00    
601799    星宇股份    03-06     141.00    03-17     131.45    -6.77     -6685.00    
300066    三川智慧    03-06     7.54      03-17     6.87      -8.89     -8844.00    
002576    通达动力    03-06     18.93     03-17     18.48     -2.38     -2340.00    
002833    弘亚数控    03-06     18.20     03-17     18.01     -1.04     -1026.00    
603028    赛福天     03-06     9.43      03-17     9.19      -2.55     -2544.00    
300127    银河磁体    03-06     35.95     03-18     32.33     -10.07    -9774.00    
000680    山推股份    03-06     12.81     03-17     11.52     -10.07    -10062.00   
300823    建科智能    03-06     17.05     03-17     16.96     -0.53     -522.00     
601568    北元集团    03-06     4.33      03-17     4.44      +2.54     +2530.00    
600847    万里股份    03-06     13.33     03-17     14.10     +5.78     +5775.00    
603188    亚邦股份    03-06     5.36      03-17     5.15      -3.92     -3906.00    
688216    气派科技    03-06     30.88     03-17     29.36     -4.92     -4864.00    
600987    航民股份    03-06     8.15      03-17     7.69      -5.64     -5612.00    
300828    锐新科技    03-06     22.39     03-17     19.44     -13.18    -12980.00   
002992    宝明科技    03-06     53.29     03-17     54.04     +1.41     +1350.00    
002624    完美世界    03-06     19.85     03-17     19.15     -3.53     -3500.00    
603599    广信股份    03-06     14.20     03-17     14.59     +2.75     +2730.00    
000738    航发控制    03-06     25.13     03-17     23.03     -8.36     -8190.00    
002296    辉煌科技    03-06     13.60     03-17     12.22     -10.15    -10074.00   
000779    甘咨询     03-06     9.50      03-17     9.23      -2.84     -2835.00    
300852    四会富仕    03-06     48.00     03-17     46.40     -3.33     -3200.00    
600692    亚通股份    03-06     7.84      03-18     8.17      +4.21     +4191.00    
001378    德冠新材    03-06     25.00     03-17     26.43     +5.72     +5720.00    
688155    先惠技术    03-06     86.77     03-18     79.58     -8.29     -7909.00    
001218    丽臣实业    03-06     25.10     03-17     25.71     +2.43     +2379.00    
300196    长海股份    03-06     19.22     03-17     17.98     -6.45     -6448.00    
002206    海利得     03-06     6.95      03-17     6.72      -3.31     -3289.00    
301031    中熔电气    03-06     141.30    03-17     133.81    -5.30     -5243.00    
301395    仁信新材    03-06     14.96     03-17     16.06     +7.35     +7260.00    
688565    力源科技    03-06     13.81     03-18     14.45     +4.63     +4608.00    
